a_id,a_text,a_q_id,MB,MB15,JM,SL,num_annotators,num_ratings,num_ratings-1,maxvotes,random,True Label
R_1kF8OGFobZD3hBt_q3_b,1. Figure out how much money my laptop company needs to make (I really don't know how to go into more detail about this with the info given) / 2. Figure out what % of the order needs to be functional so the company doesn't take a loss / 3. Figure out what the loss is of waiting for another shipment if you dont take the defective one. / 4. Use that data to make a decision whethere it should be kept or not.,q3_b,,,0,,1,1,0,1,0,0
R_1kF8OGFobZD3hBt_q3_a,"Yeah, because you can accurately calculate when you need to accept/deny a shipment.",q3_a,,,0,,1,1,0,1,0,0
R_1kF8OGFobZD3hBt_q2_b,"1. Play note / 2. Have Carla guess the note / 3. If she's right then jot that down / 4. If Carla is wrong, record how far off she was i.e. if she guessed ""B"" if the answer was ""C"" she would have been close, if she guessed ""G"" she would have been way off. / 5. Using this, you can see how good Carla's ear is, identifying both the ranges she struggles with the most and the ranges she excels at.",q2_b,,,1,,1,1,0,1,0,1
R_1kF8OGFobZD3hBt_q2_a,"Yeah, sure, if you consider having a ""good ear for music"" the same as being able to identify notes accurately. Carla is either right or wrong, and you can quantitatively measure how well she does. You can even measure how far off she was on certain guesses which would allow you to see if she has a ""good ear"" for certain pitches or ranges.",q2_a,,,2,,1,1,0,1,0,2
R_1K24LkxwMaeRzv7_q4_b,"I would determine who is the better Walleye fisher but adding up the lengths of each fish each man caught separately, dividing it by the number of fish they each had, and seeing which number is highest.",q4_b,1,,,,1,1,0,1,0,1
R_1K24LkxwMaeRzv7_q4_a,"No, statistical inference ins't necessary in this example.This scenario is not complex or there isn't anything besides an average being seeked so it isn't necessary to computer more figures.",q4_a,0,,,,1,1,0,1,0,0
R_1K24LkxwMaeRzv7_q3_b,"If more than 5% of the bulk order is bad then I would not accept and ask for a refund. If 8 or more of the 150 of the order are bad, that is greater than .05 and that means that there is a significence and the company should reject the order.",q3_b,2,,,,1,1,0,1,0,2
R_1K24LkxwMaeRzv7_q3_a,"Yes, statistical inference should be used. It should be used because the percentage they base it off of to accept or reject the bulk of the order is the same exact as the p value that is used in rejecting or accepting the null hypothesis.",q3_a,0,,,,1,1,0,1,0,0
R_1K24LkxwMaeRzv7_q2_b,"To decide whether a student has a good ear for music using this method of note identification, I would observe from a distance her hearing the note being played, her reaction, seeing how long it takes her to respond and if her answer is correct.",q2_b,0,,,,1,1,0,1,0,0
R_1K24LkxwMaeRzv7_q2_a,"You should not use a statistical inference because for particular things in life you don't need stats or numbers, it's just about what is right there in front of your face. The method is self explanatory and clearly laid out that if she can recognize the note without seeing it then she has a ""good ear for music.""",q2_a,0,,,,1,1,0,1,0,0
R_1jxqnyI3GbvQlSZ_q4_b,"I would compare the data to one another, whoever has the best average of catching larger fish will be the better fisherman.",q4_b,,,1,,1,1,0,1,0,1
R_1jxqnyI3GbvQlSZ_q4_a,"Yes, in this scenario there is a comparison going on, so statistical inference would be the right choice.",q4_a,,,1,,1,1,0,1,0,1
R_1jxqnyI3GbvQlSZ_q3_b,"As explained in the problem, if more than 5% of the display screens are bad then the company has a right to refuse all of them. I would tell the company to send them back if this was the case, if not then I would have the company keep them.",q3_b,,,2,,1,1,0,1,0,2
R_1jxqnyI3GbvQlSZ_q3_a,"No, I would use statistical data to compare things. In this case the engineer would not need to compare anything, just test to see if the display screens are usable.",q3_a,,,2,,1,1,0,1,0,2
R_1jxqnyI3GbvQlSZ_q2_b,"I would test a couple other students as well, and in the end I would compare all of them to see which students did better than the rest on the test. I can then assume that the students that did well have a good ear for music, and the students that did not do so well do not.",q2_b,,,0,,1,1,0,1,0,0
R_1jxqnyI3GbvQlSZ_q2_a,"Yes, statistical inference is a good way of comparing data to come to a logical conclusion.",q2_a,,,1,,1,1,0,1,0,1
R_1JXQNaTvi92OjVs_q4_b,"Either Mark or Dan are better fisherman depending on who used all their data and materials correctly. For example, using the correct material to catch their goal fish and their goal number of fish. As well as the location they search for these fish. Depending where Mark and Dan chose to fish, is whether they are better fisherman. Which will be shown in the number of fish and types of fish they wanted to achieve.",q4_b,,,0,,1,1,0,1,0,0
R_1JXQNaTvi92OjVs_q4_a,Yes.,q4_a,,,1,,1,1,0,1,0,1
R_1JXQNaTvi92OjVs_q3_b,There honestly shouldn't be a debate on whether to stick with the electronic company that gives 5% of bad product in every shipment. Even if that was the closest company or a less expensive company- the company purchases the screens is closing money. The right move would be to find another.,q3_b,,,0,,1,1,0,1,0,0
R_1JXQNaTvi92OjVs_q3_a,Yes- statistical inference usually requires some assumptions and with this situation- we are assuming the each bulk of 150 will have 5% that do not work.,q3_a,,,0,,1,1,0,1,0,0
R_1JXQNaTvi92OjVs_q2_b,I would decide whether a student has a good ear for music if they are able to name 80% of the notes.,q2_b,,,1,,1,1,0,1,0,1
R_1JXQNaTvi92OjVs_q2_a,No because statistical inference is used when we want to observe data assumed to be sampled from a larger population. Carla is one sample,q2_a,,,0,,1,1,0,1,0,0
R_1jx1pS6p9bqawYz_q4_b,"I dont think it can be determined by one trip who is the better fisherman, I would suggest a few outings keeping account of the amount or size of fish caught each outing and average them together deducting who is the better fisherman",q4_b,0,,,,1,1,0,1,0,0
R_1jx1pS6p9bqawYz_q4_a,I do not think this can be determined.  there are too many factors that can affect the situation to determine this on one example of fishing,q4_a,0,,,,1,1,0,1,0,0
R_1jx1pS6p9bqawYz_q3_b,The trained engineer should take a certain number of the screens and test them to see if they work probably 10-15 and if more than 5 donot work the shipment should be sent back,q3_b,0,,,,1,1,0,1,0,0
R_1jx1pS6p9bqawYz_q3_a,yes because if a majority of the product tested does not work there is a good chance that a higher percentage of the shipment would not work.,q3_a,0,,,,1,1,0,1,0,0
R_1jx1pS6p9bqawYz_q2_b,This test could be conducted by playing a random note one at a time repeating the note after playing other notes to see if the correct answer is duplicated,q2_b,0,,,,1,1,0,1,0,0
R_1jx1pS6p9bqawYz_q2_a,no because the name of a person does not determine what they can do,q2_a,0,,,,1,1,0,1,0,0
R_1jwB7eKzpwqcIpG_q4_b,You could determine which one is a better fisherman by simply tallying up who catches the most Walleye in a set period of time under the same conditions.,q4_b,0,,,,1,1,0,1,0,0
R_1jwB7eKzpwqcIpG_q4_a,No,q4_a,0,,,,1,1,0,1,0,0
R_1jwB7eKzpwqcIpG_q3_b,I would decide whether the company should accept or decline the order by doing the statistical inference and seeing if the results suggested that they accept or reject the orders.,q3_b,0,,,,1,1,0,1,0,0
R_1jwB7eKzpwqcIpG_q3_a,"Yes,the information above ives us all of the instruction that would be needed to do a statistical infererence.",q3_a,0,,,,1,1,0,1,0,0
R_1jwB7eKzpwqcIpG_q2_b,I could test to see how many times/ how many of the notes she got correclt and put it into a table and then graph it to see the results.,q2_b,1,,,,1,1,0,1,0,1
R_1jwB7eKzpwqcIpG_q2_a,"Yes, this is a testable question to try to answer. The stats are there to use so there's no harm in diong it.",q2_a,1,,,,1,1,0,1,0,1
R_1jV3zXzIiLeWmQz_q4_b,"They should measure the lengths of all the fish that they caught, and average them. After they average them, they should look at which brother has the higher average. Whoever has a higher number, has a larger average for this sample of data. This will settle this dispute, and they can use it to decide who is a better fisherman overall.",q4_b,1,,,,1,1,0,1,0,1
R_1jV3zXzIiLeWmQz_q4_a,"Yes, Mark and Dan should use statistical inference to determine which brother is a better fisherman. This is because this trip obviously isn't the first time they went fishing, and they are trying to prove a statement in which states who is a better fisherman overall, and not in this particular instance.",q4_a,1,,,,1,1,0,1,0,1
R_1jV3zXzIiLeWmQz_q3_b,"The engineers should check all of the display screen, and tally the ones that are bad out the 150. After he tally all of the bad display screens out of the 150, he should divide the number of bad display screens by the total number of display screens (150). If the number that he gets is more that 0.05, then he should tell the company to reject the entire bulk because that would mean that more than 5% of the display screens are bad.",q3_b,2,,,,1,1,0,1,0,2
R_1jV3zXzIiLeWmQz_q3_a,"No, statistical inference should not be used to determine whether the company should accept or reject the bulk order of display screens because the engineer is checking all the screens. This means that the whole population is accessible. You don't need to predict anything when you have the whole population.",q3_a,2,,,,1,1,0,1,0,2
R_1jV3zXzIiLeWmQz_q2_b,"Well, there are 6 notes. If a student were to guess they would have about a 17% change to get the answer right. So, play ten notes and let the student answer what he/she is the note for each one. After the student finishes, figure out the percent of the notes he/she got correct by dividing the number correct by 10. After you find the percentage, change it into a proportion by moving the decimal to the left two places. Then perform a one-sample proportion test with the a greater than sign to see if there if a significant difference in the proportions.",q2_b,2,,,,1,1,0,1,0,2
R_1jV3zXzIiLeWmQz_q2_a,"You should not use statistical inference in this scenario because you are only trying to find if Carla has a good ear for music, and not an entire population. One would not perform a test to see if all the Carlas in the world have a good ear for music, I assume.",q2_a,0,,,,1,1,0,1,0,0
R_1jp4nIKc93VhMyk_q4_b,I would average the fish lengths of each brother and whoever has a higher average  is the better fisherman.,q4_b,1,,,,1,1,0,1,0,1
R_1jp4nIKc93VhMyk_q4_a,"Yes, it is the best way to determine who caught the most amount of big fish.",q4_a,1,,,,1,1,0,1,0,1
R_1jp4nIKc93VhMyk_q3_b,"If over 5% of the screens were not functioning properly, they should deny the order.",q3_b,2,,,,1,1,0,1,0,2
R_1jp4nIKc93VhMyk_q3_a,"Yes, statistical inference should be used. It is up to the company to see if the data gathered by the engineer was reliable before taking action.",q3_a,0,,,,1,1,0,1,0,0
R_1jp4nIKc93VhMyk_q2_b,"We should see what percentage of the notes Carla is able to perceive. If she can identify over 50% of the notes given, she had a good ear for music.",q2_b,1,,,,1,1,0,1,0,1
R_1jp4nIKc93VhMyk_q2_a,"Yes, we should see what percentage of the notes Carla is able to perceive. If she can identify over 50% of the notes, she had a good ear for music.",q2_a,2,,,,1,1,0,1,0,2
R_1jOsmJQ2dXZgdbV_q4_b,Use the information that Mark and Dan gathered from their fishing trip to determine who caught a better supply of fish.,q4_b,,,0,,1,1,0,1,0,0
R_1jOsmJQ2dXZgdbV_q4_a,Yes. Simply compare the individual sets of fish that each brother caught.,q4_a,,,1,,1,1,0,1,0,1
R_1jOsmJQ2dXZgdbV_q3_b,Use probability to determine the likelihood that a display screen will malfunction.,q3_b,,,0,,1,1,0,1,0,0
R_1jOsmJQ2dXZgdbV_q3_a,No. Use probability to determine how often there will be a malfunction.,q3_a,,,1,,1,1,0,1,0,1
R_1jOsmJQ2dXZgdbV_q2_b,"Determine the probability that she gets the note correct, incorrect. How many trials does it take for her to get one note correct, two notes in a row correct, all of the notes correct, etc.",q2_b,,,0,,1,1,0,1,0,0
R_1jOsmJQ2dXZgdbV_q2_a,"No, probability should be used. What is the probability she will get the note correct?",q2_a,,,0,,1,1,0,1,0,0
R_1jOJd3Bu1mZNm3D_q4_b,I would write down all of Mark's fish after recording their length and then do the same with Dan. After this I would add up Mark's inches and divide them by how many fish he caught and then do the same with Dan's numbers. Then you will have the average fish length for Mark and Dan. Whoever has the bigger number (length of fish in inches) you will know that they averaged the longer fish length.,q4_b,,,1,,1,1,0,1,0,1
R_1jOJd3Bu1mZNm3D_q4_a,"Yes, because you can find out which fisherman is better by using a statistical equation.",q4_a,,,1,,1,1,0,1,0,1
R_1jOJd3Bu1mZNm3D_q3_b,First you would look at each of the 150 display screens. Mark which ones are good or bad. If you divide the number of good by 150 and you get a number higher than 95% then you can accept the order. If it's lower than 95% that means that more than 5% are bad and you won't want to accept the order.,q3_b,,,2,,1,1,0,1,0,2
R_1jOJd3Bu1mZNm3D_q3_a,"Yes, because you don't want to order 150 and have 50% that are bad. It's a waste of time and money otherwise for the company. This is an easy way to find 5% and to reject or accept the order.",q3_a,,,0,,1,1,0,1,0,0
R_1jOJd3Bu1mZNm3D_q2_b,"Yes, you could play each note and mark the ones she gets right. Then you can average out the notes she get correct by adding up how many note are right out of how many notes she heard. Divide the numbers and you will get a percentage. If she gets 6/10 that is 60% which means she's almost about 50/50.",q2_b,,,1,,1,1,0,1,0,1
R_1jOJd3Bu1mZNm3D_q2_a,"Yes, you could figure out her average of notes she gets correct.",q2_a,,,1,,1,1,0,1,0,1
R_1jNXvePCa88C2Kl_q4_b,I would find the average size of the fish each caught. The one fisher who has the largest average is the better fisher.,q4_b,,,1,,1,1,0,1,0,1
R_1jNXvePCa88C2Kl_q4_a,"No, if all the equipment is the same, then there is nothing you have to compare against.",q4_a,,,0,,1,1,0,1,0,0
R_1jNXvePCa88C2Kl_q3_b,"I would conduct a hypothesis test with a 5% significance level. The null hypothesis would be that the bulk order is good and less then 5% of the order is damaged, and the alternative hypothesis would be that the bulk order is not good that more than 5% of the order is damaged. I would use a Z test because the sample is large.",q3_b,,,1,,1,1,0,1,0,1
R_1jNXvePCa88C2Kl_q3_a,"Yes, because you have to apply the information you have from a sample to a population.",q3_a,,,0,,1,1,0,1,0,0
R_1jNXvePCa88C2Kl_q2_b,"I would decide if she has a good ear of music by only playing two notes of similar sound. That way she wont be able to eliminate the ones she has already guessed. And if the notes are of similar sound, it would be hard to distinguish them apart, if she would get them right she would have a good ear for music.",q2_b,,,0,,1,1,0,1,0,0
R_1jNXvePCa88C2Kl_q2_a,"No, it wouldn't be necessary because you are not comparing her.",q2_a,,,0,,1,1,0,1,0,0
R_1jKic77pkU7IC4u_q4_b,"Before beginning the test, we must establish the null and alternative hypothesis and we must explain why we are doing this research and what the variables that we are using are. Then we can find the average length of the fish that each brother caught so that we can perform a compare means t-test. The compare means t-test will give us enough information to either reject or fail to reject the null hypothesis that has been proposed. From this procedure we can decide whether Mark or Dan is a better Walleye fisherman.",q4_b,,,2,,1,1,0,1,0,2
R_1jKic77pkU7IC4u_q4_a,"No, it should not be uses because I do not think that they caught enough fish to have a normal distribution, which is necessary for the test or caught enough fish to have a large enough sample to make statistical inference. However, a test can be done with the following information and we can compare the means of the two.",q4_a,,,1,,1,1,0,1,0,1
R_1jKic77pkU7IC4u_q3_b,"With the data gathered by the trained engineer, the company can simply use mathematical formulas to calculate the percentage of screens that don't work. If it is 5% or more we can get rid off it.",q3_b,,,2,,1,1,0,1,0,2
R_1jKic77pkU7IC4u_q3_a,"In this case we should not use statistical inference, because if the engineer is testing each of the screen displays, then there is no need for the use of statistical inference to decide whether or not the bulk order should be accepted or rejected. Simple mathematical calculations can just be used in order to determine whether it is more or less than 5%.",q3_a,,,2,,1,1,0,1,0,2
R_1jKic77pkU7IC4u_q2_b,"In order to be able to decide whether or not Carla has a good hear, we would have to test her at least 100 times. Then we can see the proportion of correct notes. We would have to state the research question, Does she have a good ear for music, or is she guessing. The null hypothesis would be that the average is .5 and the alternative hypothesis is that Carla's proportion is larger than .5. After we have stated the null hypothesis, and our research questions and variables, we must use a computer program to fin the p-value. If the p-value is smaller than .005 then we must reject the null hypothesis and if not then we fail to reject it.",q2_b,,,2,,1,1,0,1,0,2
R_1jKic77pkU7IC4u_q2_a,"No, you should not use statistical significance to determine whether or not Carla  has a good ear for music. I think it would be very time consuming to perform this task, because in order to obtain good statistical values Carla must be tested a large number of times. This would also annoy Carla, and her performance could then decrease. For these reasons I believe that whether or not Carla has a good  ear for music should be explained using statistical data.",q2_a,,,0,,1,1,0,1,0,0
R_1JKiAau3grxSHl1_q4_b,"Mark and Dan should make a note of the length of each Walleye. once the trip is over, then they should each compile a list of the length of the Walleye's they've caught. Once the list is complete, they should take the averages of the fish lengths. To do this they need to add up all the lengths together and then divide the sum by however many fish they caught. Whoever has the larger number after their calculations is the better Walleye fisherman",q4_b,1,,,,1,1,0,1,0,1
R_1JKiAau3grxSHl1_q4_a,Yes. Statistical inference should be used to determine which of the two brothers has the better fishing ability. The data is quantitative so statistical inference should be used.,q4_a,1,,,,1,1,0,1,0,1
R_1JKiAau3grxSHl1_q3_b,"The engineer must have some sort of diagnostic test to determine is the screen is good or bad. After each screen has been checked, the engineer must note if it is good or bad. When the engineer has tested all of the screens, he must calculate the percent of the screens that are considered bad. The engineer will do this by taking the number of screens that are bad and dividing it by 150, then multiplying that number by 100. If the answer is over 5, then the engineer should reject the order of the screens. If the number is lower than 5, then the order will be accepted.",q3_b,2,,,,1,1,0,1,0,2
R_1JKiAau3grxSHl1_q3_a,The engineer could use statistical inference to see if more than 5% of the screens are bad. This way he can determine if the bulk order should be sent back for a refund or if they are to keep it.,q3_a,0,,,,1,1,0,1,0,0
R_1JKiAau3grxSHl1_q2_b,"To find out if Carla has a good ear for music, you must simply play a note and see if she can identify it. Have her face the wall and play each note (in a random order) once and see if she can identify it. Repeat the process with all 7 notes.",q2_b,1,,,,1,1,0,1,0,1
R_1JKiAau3grxSHl1_q2_a,I would not use statistical inference on this 'experiment; because there is no quantitative data to be drawn from it,q2_a,0,,,,1,1,0,1,0,0
R_1JFWl58BqJ70RMf_q4_b,"All the condition same as the question said, but longer time, like 2 months, and then who is the better fisherman can be determined.",q4_b,0,,,,1,1,0,1,0,0
R_1JFWl58BqJ70RMf_q4_a,"I think it cannot be used, because the time period is too short, even if they have all same condition",q4_a,0,,,,1,1,0,1,0,0
R_1JFWl58BqJ70RMf_q3_b,"The company regularly purchases bulk orders of 150 display screens from a supplier.  If more than 7% of the display screens from the supplier are bad, the company may choose to reject the entire bulk order of 150 display screens for a refund.  Otherwise the company must accept the entire bulk order of 150 display screens. Random selected  /  / Random selected / S/F 150*7%=10.5 /        150*93%=139.5 / n is less than all the display screen",q3_b,1,,,,1,1,0,1,0,1
R_1JFWl58BqJ70RMf_q3_a,I don't think this can be determine whether the company should accept or reject the bulk order. Because 150*5%=7.5 is less than 10. The S/F condition  is not match.,q3_a,1,,,,1,1,0,1,0,1
R_1JFWl58BqJ70RMf_q2_b,"A music teacher press several keys at  random, and let the student listen and answer it. The student is asked to name which key was played while standing in the room facing away from the piano so that the student cannot see which note the teacher plays on the piano.",q2_b,0,,,,1,1,0,1,0,0
R_1JFWl58BqJ70RMf_q2_a,"I don't think this statistical inference can be used to determine whether Carla has a ""good ear for music"", in my opinion this method only can identify how the student is familiar with these notes.",q2_a,0,,,,1,1,0,1,0,0
R_1jfG7YHjJdGlwP6_q4_b,"In order to test this out, we will do the large sample method. This is where we first make assumptions that the observations are continuos and alike in shape and spread. Then we come up with a hypothesis and an alternative hypothesis that goes against it. After, we get a sum of all the data provided and calculate the Wilcoxon rank-sum statistic that will then tell us if our hypothesis was correct or not.",q4_b,,,1,,1,1,0,1,0,1
R_1jfG7YHjJdGlwP6_q4_a,"Yes, statistical inferences should be made on who was the eatter fisherman because this could fit under the nonparametic testing in order to compare and see who won. Since both of their fishes will be random samples they would be completely independent of each other as well as since they both have the same kinds of bait, geographic features etc., it proposes that both of their surrounding distributions would be the same which gives us all lee way into testing this out correctly.",q4_a,,,1,,1,1,0,1,0,1
R_1jfG7YHjJdGlwP6_q3_b,"In my own opinion, I think that the electronics company should choose to accept the display screens regardless if 5% are not good enough because the trouble of refunding their money because of such a low percentage would be way more complicated and they are still able to lose money because of the shipping and taxes and so on.",q3_b,,,0,,1,1,0,1,0,0
R_1jfG7YHjJdGlwP6_q3_a,"No, statistical inferencing is not needed throughout this situation. Limited information is given to us about the display screens that are being sent to the engineer, all we know is if 5% are not applicable they must send them back. We are given only 2 sets of quantatative data whihc is that 5% and the number of display screens which leaves us with nothing to work with.",q3_a,,,1,,1,1,0,1,0,1
R_1jfG7YHjJdGlwP6_q2_b,"In order to test this method of note identification, we can draw out a probabality distribution table and lable the outcomes 1 through 6 (since there are 6 different notes) and beneath it list the probabality that Carla chooses one as 1/6 for each. Depending on how many notes she guesses and how many times she is asked will provide more information for calculating different probabalitys. The more questions she is asked, the greateer the probabalitty percentage will raise for certain notes. Once you get all of your information, you can get the percentages of each note and add them together in order to find statistical average of which notes she chose and match them to what the notes really were.",q2_b,,,0,,1,1,0,1,0,0
R_1jfG7YHjJdGlwP6_q2_a,"Yes statistical inferencing can be used in this situation because it can easily fit under the probabality execution. By choosing what notes she hears, Carla is taking part in a random trial, and the outcome of choosing a note does not influence the next note she may choose. This gives us an oppurtunity to create a probabality distribution for this random process to test whether or not she has a ""good ear"".",q2_a,,,2,,1,1,0,1,0,2
R_1je5ouIVjTlhzZz_q4_b,I would just take the average lengths that were recorded by each fisherman.  Whoever has the larger average length would then be considered the better Walleye fisherman.,q4_b,,,1,,1,1,0,1,0,1
R_1je5ouIVjTlhzZz_q4_a,"No, because each fish caught was recorded so they can just be compared using the information they recorded to determine who caught the larger Walleye on average.",q4_a,,,1,,1,1,0,1,0,1
R_1je5ouIVjTlhzZz_q3_b,"If 5% or more of the screens are bad, they should be returned for a refund. Otherwise they should be kept.",q3_b,,,2,,1,1,0,1,0,2
R_1je5ouIVjTlhzZz_q3_a,"No, the trained engineer will be able to determine whether the company should accept of reject the bulk order of display screens without using any statistical inference.",q3_a,,,1,,1,1,0,1,0,1
R_1je5ouIVjTlhzZz_q2_b,I would record when she guesses a note correctly versus when she does not guess a note correctly.  I would then compare the amount of correct guesses versus the amount of incorrect guesses to determine whether Carla actually has a good ear for music.,q2_b,,,1,,1,1,0,1,0,1
R_1je5ouIVjTlhzZz_q2_a,"No because this information can just be recorded and since it is not being compared to any other student, there is not a need to use statistical inference.",q2_a,,,0,,1,1,0,1,0,0
R_1JCvDsuxjV2SzAN_q2_a,I would not use statistical inference to measure whether Carla has a good ear for music.,q2_a,1,,,,1,1,0,1,0,1
